method,date,t1_nav,estimated_nav,official_nav,estimated_change_pct,official_change_pct,error_pp,over_threshold
v_index_full_no_cash,2026-07-01,2.392,2.346839,2.3493,-1.888,-1.7851,-0.1029,0
v_index_full_no_cash,2026-07-02,2.3493,2.215066,2.2236,-5.7138,-5.3505,-0.3633,0
v_index_full_no_cash,2026-07-03,2.2236,2.225073,2.2247,0.0662,0.0495,0.0168,0
v_index_full_no_cash,2026-07-06,2.2247,2.185366,2.1875,-1.768,-1.6721,-0.0959,0
v_index_full_no_cash,2026-07-07,2.1875,2.16703,2.1679,-0.9358,-0.896,-0.0398,0
v_index_full_no_cash,2026-07-08,2.1679,2.131016,2.1334,-1.7014,-1.5914,-0.11,0
v_index_full_no_cash,2026-07-09,2.1334,2.229282,2.2228,4.4943,4.1905,0.3038,0
v_index_full_no_cash,2026-07-10,2.2228,2.125747,2.1318,-4.3662,-4.0939,-0.2723,0
v_index_full_no_cash,2026-07-13,2.1318,2.065665,2.068,-3.1023,-2.9928,-0.1095,0
v_index_full_no_cash,2026-07-14,2.068,2.138879,2.1343,3.4274,3.206,0.2214,0
v_index_blend,2026-04-28,2.023,1.992459,1.9956,-1.5097,-1.3544,-0.1553,0
v_index_blend,2026-04-29,1.9956,2.052641,2.0432,2.8584,2.3852,0.4731,0
v_index_blend,2026-04-30,2.0432,2.032673,2.0393,-0.5152,-0.1909,-0.3243,0
v_index_blend,2026-05-06,2.0393,2.089904,2.0919,2.4814,2.5793,-0.0979,0
v_index_blend,2026-05-07,2.0919,2.118677,2.1207,1.28,1.3767,-0.0967,0
v_index_blend,2026-05-08,2.1207,2.099987,2.1015,-0.9767,-0.9054,-0.0713,0
v_index_blend,2026-05-11,2.1015,2.165928,2.1713,3.0658,3.3214,-0.2556,0
v_index_blend,2026-05-12,2.1713,2.178101,2.1748,0.3132,0.1612,0.152,0
v_index_blend,2026-05-13,2.1748,2.224518,2.2289,2.2861,2.4876,-0.2015,0
v_index_blend,2026-05-14,2.2289,2.190167,2.1833,-1.7378,-2.0459,0.3081,0
v_index_blend,2026-05-15,2.1833,2.178037,2.1724,-0.241,-0.4992,0.2582,0
v_index_blend,2026-05-18,2.1724,2.156907,2.1656,-0.7132,-0.313,-0.4002,0
v_index_blend,2026-05-19,2.1656,2.15444,2.1625,-0.5153,-0.1431,-0.3722,0
v_index_blend,2026-05-20,2.1625,2.16922,2.1692,0.3108,0.3098,0.0009,0
v_index_blend,2026-05-21,2.1692,2.129451,2.1219,-1.8324,-2.1805,0.3481,0
v_index_blend,2026-05-22,2.1219,2.174409,2.1768,2.4746,2.5873,-0.1127,0
v_index_blend,2026-05-25,2.1768,2.219357,2.2189,1.955,1.934,0.021,0
v_index_blend,2026-05-26,2.2189,2.246073,2.2304,1.2246,0.5183,0.7063,1
v_index_blend,2026-05-27,2.2304,2.242712,2.2322,0.552,0.0807,0.4713,0
v_index_blend,2026-05-28,2.2322,2.272016,2.2733,1.7837,1.8412,-0.0575,0
v_index_blend,2026-05-29,2.2733,2.245927,2.2273,-1.2041,-2.0235,0.8194,1
v_index_blend,2026-06-01,2.2273,2.181633,2.1819,-2.0503,-2.0383,-0.012,0
v_index_blend,2026-06-02,2.1819,2.248124,2.239,3.0352,2.617,0.4182,0
v_index_blend,2026-06-03,2.239,2.271603,2.2762,1.4562,1.6615,-0.2053,0
v_index_blend,2026-06-04,2.2762,2.243628,2.2584,-1.431,-0.782,-0.649,1
v_index_blend,2026-06-05,2.2584,2.188955,2.1898,-3.075,-3.0375,-0.0374,0
v_index_blend,2026-06-08,2.1898,2.120046,2.1128,-3.1854,-3.5163,0.3309,0
v_index_blend,2026-06-09,2.1128,2.181504,2.193,3.2518,3.7959,-0.5441,1
v_index_blend,2026-06-10,2.193,2.135241,2.1373,-2.6338,-2.5399,-0.0939,0
v_index_blend,2026-06-11,2.1373,2.068384,2.1148,-3.2244,-1.0527,-2.1717,1
v_index_blend,2026-06-12,2.1148,2.119015,2.1236,0.1993,0.4161,-0.2168,0
v_index_blend,2026-06-15,2.1236,2.212254,2.2304,4.1747,5.0292,-0.8545,1
v_index_blend,2026-06-16,2.2304,2.262767,2.2673,1.4512,1.6544,-0.2032,0
v_index_blend,2026-06-17,2.2673,2.283044,2.3015,0.6944,1.5084,-0.814,1
v_index_blend,2026-06-18,2.3015,2.332592,2.3467,1.3509,1.9639,-0.613,1
v_index_blend,2026-06-22,2.3467,2.412339,2.404,2.7971,2.4417,0.3554,0
v_index_blend,2026-06-23,2.404,2.311106,2.3146,-3.8641,-3.7188,-0.1453,0
v_index_blend,2026-06-24,2.3146,2.33142,2.3454,0.7267,1.3307,-0.604,1
v_index_blend,2026-06-25,2.3454,2.406479,2.4078,2.6042,2.6605,-0.0563,0
v_index_blend,2026-06-26,2.4078,2.301823,2.3158,-4.4014,-3.8209,-0.5805,1
v_index_blend,2026-06-29,2.3158,2.327702,2.3273,0.514,0.4966,0.0174,0
v_index_blend,2026-06-30,2.3273,2.390879,2.392,2.7319,2.78,-0.0482,0
v_index_blend,2026-07-01,2.392,2.337682,2.3493,-2.2708,-1.7851,-0.4857,0
v_index_blend,2026-07-02,2.3493,2.23834,2.2236,-4.7231,-5.3505,0.6274,1
v_index_blend,2026-07-03,2.2236,2.225757,2.2247,0.097,0.0495,0.0475,0
v_index_blend,2026-07-06,2.2247,2.189102,2.1875,-1.6001,-1.6721,0.072,0
v_index_blend,2026-07-07,2.1875,2.17469,2.1679,-0.5856,-0.896,0.3104,0
v_index_blend,2026-07-08,2.1679,2.134361,2.1334,-1.5471,-1.5914,0.0443,0
v_index_blend,2026-07-09,2.1334,2.222299,2.2228,4.167,4.1905,-0.0235,0
v_index_blend,2026-07-10,2.2228,2.117443,2.1318,-4.7399,-4.0939,-0.6459,1
v_index_blend,2026-07-13,2.1318,2.104429,2.068,-1.284,-2.9928,1.7088,1
v_index_blend,2026-07-14,2.068,2.135733,2.1343,3.2753,3.206,0.0693,0
v_residual_uncovered,2026-04-28,2.023,1.990046,1.9956,-1.6289,-1.3544,-0.2745,0
v_residual_uncovered,2026-04-29,1.9956,2.059901,2.0432,3.2221,2.3852,0.8369,1
v_residual_uncovered,2026-04-30,2.0432,2.0286,2.0393,-0.7146,-0.1909,-0.5237,1
v_residual_uncovered,2026-05-06,2.0393,2.087877,2.0919,2.382,2.5793,-0.1973,0
v_residual_uncovered,2026-05-07,2.0919,2.117049,2.1207,1.2022,1.3767,-0.1745,0
v_residual_uncovered,2026-05-08,2.1207,2.098977,2.1015,-1.0243,-0.9054,-0.119,0
v_residual_uncovered,2026-05-11,2.1015,2.161712,2.1713,2.8652,3.3214,-0.4562,0
v_residual_uncovered,2026-05-12,2.1713,2.180969,2.1748,0.4453,0.1612,0.2841,0
v_residual_uncovered,2026-05-13,2.1748,2.220951,2.2289,2.1221,2.4876,-0.3655,0
v_residual_uncovered,2026-05-14,2.2289,2.195584,2.1833,-1.4947,-2.0459,0.5511,1
v_residual_uncovered,2026-05-15,2.1833,2.182942,2.1724,-0.0164,-0.4992,0.4828,0
v_residual_uncovered,2026-05-18,2.1724,2.150674,2.1656,-1.0001,-0.313,-0.6871,1
v_residual_uncovered,2026-05-19,2.1656,2.148409,2.1625,-0.7938,-0.1431,-0.6507,1
v_residual_uncovered,2026-05-20,2.1625,2.16899,2.1692,0.3001,0.3098,-0.0097,0
v_residual_uncovered,2026-05-21,2.1692,2.136119,2.1219,-1.525,-2.1805,0.6555,1
v_residual_uncovered,2026-05-22,2.1219,2.170751,2.1768,2.3022,2.5873,-0.2851,0
v_residual_uncovered,2026-05-25,2.1768,2.218703,2.2189,1.925,1.934,-0.009,0
v_residual_uncovered,2026-05-26,2.2189,2.258239,2.2304,1.7729,0.5183,1.2546,1
v_residual_uncovered,2026-05-27,2.2304,2.251158,2.2322,0.9307,0.0807,0.85,1
v_residual_uncovered,2026-05-28,2.2322,2.27066,2.2733,1.723,1.8412,-0.1183,0
v_residual_uncovered,2026-05-29,2.2733,2.26007,2.2273,-0.582,-2.0235,1.4415,1
v_residual_uncovered,2026-06-01,2.2273,2.181576,2.1819,-2.0529,-2.0383,-0.0145,0
v_residual_uncovered,2026-06-02,2.1819,2.256789,2.239,3.4323,2.617,0.8153,1
v_residual_uncovered,2026-06-03,2.239,2.269592,2.2762,1.3663,1.6615,-0.2951,0
v_residual_uncovered,2026-06-04,2.2762,2.23224,2.2584,-1.9313,-0.782,-1.1493,1
v_residual_uncovered,2026-06-05,2.2584,2.188385,2.1898,-3.1002,-3.0375,-0.0627,0
v_residual_uncovered,2026-06-08,2.1898,2.125522,2.1128,-2.9353,-3.5163,0.581,1
v_residual_uncovered,2026-06-09,2.1128,2.173548,2.193,2.8752,3.7959,-0.9207,1
v_residual_uncovered,2026-06-10,2.193,2.134068,2.1373,-2.6873,-2.5399,-0.1474,0
v_residual_uncovered,2026-06-11,2.1373,2.032734,2.1148,-4.8925,-1.0527,-3.8397,1
v_residual_uncovered,2026-06-12,2.1148,2.114473,2.1236,-0.0154,0.4161,-0.4316,0
v_residual_uncovered,2026-06-15,2.1236,2.198017,2.2304,3.5043,5.0292,-1.5249,1
v_residual_uncovered,2026-06-16,2.2304,2.259592,2.2673,1.3088,1.6544,-0.3456,0
v_residual_uncovered,2026-06-17,2.2673,2.269158,2.3015,0.0819,1.5084,-1.4265,1
v_residual_uncovered,2026-06-18,2.3015,2.32198,2.3467,0.8898,1.9639,-1.0741,1
v_residual_uncovered,2026-06-22,2.3467,2.419738,2.404,3.1124,2.4417,0.6706,1
v_residual_uncovered,2026-06-23,2.404,2.306995,2.3146,-4.0351,-3.7188,-0.3163,0
v_residual_uncovered,2026-06-24,2.3146,2.320373,2.3454,0.2494,1.3307,-1.0813,1
v_residual_uncovered,2026-06-25,2.3454,2.404844,2.4078,2.5345,2.6605,-0.126,0
v_residual_uncovered,2026-06-26,2.4078,2.291772,2.3158,-4.8189,-3.8209,-0.9979,1
v_residual_uncovered,2026-06-29,2.3158,2.327784,2.3273,0.5175,0.4966,0.0209,0
v_residual_uncovered,2026-06-30,2.3273,2.388946,2.392,2.6488,2.78,-0.1312,0
v_residual_uncovered,2026-07-01,2.392,2.328832,2.3493,-2.6408,-1.7851,-0.8557,1
v_residual_uncovered,2026-07-02,2.3493,2.251182,2.2236,-4.1765,-5.3505,1.1741,1
v_residual_uncovered,2026-07-03,2.2236,2.226344,2.2247,0.1234,0.0495,0.0739,0
v_residual_uncovered,2026-07-06,2.2247,2.190474,2.1875,-1.5385,-1.6721,0.1337,0
v_residual_uncovered,2026-07-07,2.1875,2.179836,2.1679,-0.3504,-0.896,0.5456,1
v_residual_uncovered,2026-07-08,2.1679,2.135525,2.1334,-1.4934,-1.5914,0.098,0
v_residual_uncovered,2026-07-09,2.1334,2.220602,2.2228,4.0875,4.1905,-0.103,0
v_residual_uncovered,2026-07-10,2.2228,2.107241,2.1318,-5.1988,-4.0939,-1.1049,1
v_residual_uncovered,2026-07-13,2.1318,2.131921,2.068,0.0057,-2.9928,2.9985,1
v_residual_uncovered,2026-07-14,2.068,2.136041,2.1343,3.2902,3.206,0.0842,0
