date,open,high,low,close,volume,amount
2026-01-29,42.24,42.24,40.8,40.81,10751428.0,0.0
2026-01-30,40.68,42.15,40.01,41.86,11707764.0,0.0
2026-02-02,41.42,42.12,40.0,40.0,9711159.0,0.0
2026-02-03,40.43,41.17,40.01,40.55,6177888.0,0.0
2026-02-04,40.5,41.28,39.66,41.13,8088249.0,0.0
2026-02-05,41.12,41.5,40.32,40.94,5709813.0,0.0
2026-02-06,40.9,42.21,40.42,41.36,7435813.0,0.0
2026-02-09,41.62,42.4,41.3,41.51,4809110.0,0.0
2026-02-10,41.39,41.55,40.99,41.04,3790360.0,0.0
2026-02-11,40.96,42.26,40.82,41.15,5550064.0,0.0
2026-02-12,41.07,41.24,40.03,40.08,6796532.0,0.0
2026-02-13,40.07,40.09,39.3,39.35,4990700.0,0.0
2026-02-24,39.81,42.07,39.41,41.55,9624025.0,0.0
2026-02-25,41.75,42.28,41.5,41.75,6274157.0,0.0
2026-02-26,41.8,42.73,41.6,41.74,6645704.0,0.0
2026-02-27,41.79,44.18,41.75,43.86,12914971.0,0.0
2026-03-02,43.25,45.1,42.46,44.96,14259194.0,0.0
2026-03-03,44.58,47.16,43.92,45.38,19700878.0,0.0
2026-03-04,45.05,46.8,44.66,46.05,15658412.0,0.0
2026-03-05,46.59,47.35,45.44,46.29,12091254.0,0.0
2026-03-06,46.46,46.65,44.96,45.71,9847266.0,0.0
2026-03-09,47.99,51.73,47.78,48.61,36491824.0,0.0
2026-03-10,48.58,51.07,47.81,50.99,25733889.0,0.0
2026-03-11,50.85,52.35,49.28,51.67,19963959.0,0.0
2026-03-12,51.64,52.94,51.01,52.5,15407634.0,0.0
2026-03-13,52.8,63.0,52.66,61.79,37667840.0,0.0
2026-03-16,61.2,61.47,57.7,58.3,27811755.0,0.0
2026-03-17,58.0,63.5,56.75,61.5,34465290.0,0.0
2026-03-18,61.2,62.28,59.26,61.2,19127579.0,0.0
2026-03-19,63.0,66.33,58.9,59.25,33301188.0,0.0
2026-03-20,58.19,59.41,56.0,56.13,27899417.0,0.0
2026-03-23,55.12,56.6,53.6,53.81,18013774.0,0.0
2026-03-24,54.88,58.1,54.1,57.0,17653372.0,0.0
2026-03-25,57.2,57.77,55.6,57.42,13461158.0,0.0
2026-03-26,57.01,57.68,54.42,54.71,13723318.0,0.0
2026-03-27,54.36,55.93,53.81,55.33,14275571.0,0.0
2026-03-30,56.51,60.26,55.33,59.3,22665277.0,0.0
2026-03-31,59.56,60.5,58.14,58.68,14442856.0,0.0
2026-04-01,59.0,61.16,54.9,56.53,22548547.0,0.0
2026-04-02,57.65,58.77,56.11,57.96,17044101.0,0.0
2026-04-03,58.99,61.04,58.01,59.86,19362129.0,0.0
2026-04-07,59.58,68.44,59.27,65.66,25864822.0,0.0
2026-04-08,61.0,65.0,53.68,58.03,43463410.0,0.0
2026-04-09,55.13,59.54,55.05,59.45,25766910.0,0.0
2026-04-10,58.85,59.3,56.56,56.88,19555249.0,0.0
2026-04-13,57.58,58.99,55.48,55.81,18084106.0,0.0
2026-04-14,55.87,55.95,54.25,55.03,13259290.0,0.0
2026-04-15,54.48,54.96,51.55,52.74,17650340.0,0.0
2026-04-16,52.5,53.37,50.78,53.09,15200193.0,0.0
2026-04-17,53.06,54.14,52.53,53.53,11309957.0,0.0
2026-04-20,53.57,55.35,52.76,53.88,12050376.0,0.0
2026-04-21,53.86,55.46,52.97,54.7,14572047.0,0.0
2026-04-22,54.77,55.77,53.61,55.55,15022510.0,0.0
2026-04-23,54.63,56.18,51.82,55.13,27136960.0,0.0
2026-04-24,52.58,58.5,52.03,57.79,27425492.0,0.0
2026-04-27,57.63,58.3,56.61,57.59,11513694.0,0.0
2026-04-28,57.84,58.89,56.91,57.28,10366917.0,0.0
2026-04-29,57.07,58.23,56.56,57.78,9007507.0,0.0
2026-04-30,58.0,59.95,56.35,57.02,11102600.0,0.0
2026-05-06,57.46,59.86,53.0,53.35,24816723.0,0.0
2026-05-07,52.8,53.17,51.58,52.4,14706902.0,0.0
2026-05-08,52.61,52.85,50.68,50.92,12599891.0,0.0
2026-05-11,51.0,52.3,50.35,51.75,14625810.0,0.0
2026-05-12,51.75,54.64,51.71,54.24,17912120.0,0.0
2026-05-13,54.24,54.95,47.75,50.07,32463826.0,0.0
2026-05-14,49.79,51.69,49.33,50.2,14309713.0,0.0
2026-05-15,50.21,51.16,49.67,50.36,11072133.0,0.0
2026-05-18,50.4,52.53,50.26,51.31,12262700.0,0.0
2026-05-19,51.71,51.98,49.31,50.44,11334814.0,0.0
